Var.Lab,Rot.Padrão,Novo Rótulo,Coluna temporária,Nome Banco,Tipo de Dado,2010,2011,2012,2013,2014,2015,2016
SMPPIR-LOCAL-OFERTA1,CO_IES,Código único de identificação da IES,0,cod_ies,INTEGER,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES
SMPPIR-LOCAL-OFERTA2,CO_MUNICIPIO_LOCAL_OFERTA,Código do município do local de oferta,0,cod_municipio,INTEGER,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA,CO_MUNICIPIO_LOCAL_OFERTA
SMPPIR-LOCAL-OFERTA3,NO_MUNICIPIO_LOCAL_OFERTA,Nome do município do local de oferta,0,nome_municipio,VARCHAR(255),NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA,NO_MUNICIPIO_LOCAL_OFERTA
SMPPIR-LOCAL-OFERTA4,CO_UF_LOCAL_OFERTA,Código da Unidade da Federação do local de oferta,0,cod_uf,INTEGER,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA,CO_UF_LOCAL_OFERTA
SMPPIR-LOCAL-OFERTA5,SGL_UF_LOCAL_OFERTA,Sigla da unidade da federação do local de oferta,0,sigla_uf,VARCHAR(2),SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA,SGL_UF_LOCAL_OFERTA
SMPPIR-LOCAL-OFERTA6,IN_SEDE,Informa se o agrupador é o principal da IES,0,sede,INTEGER,IN_SEDE,IN_SEDE,IN_SEDE,IN_SEDE,IN_SEDE,IN_SEDE,IN_SEDE
SMPPIR-LOCAL-OFERTA7,CO_CURSO_POLO,Código de identificação do polo vinculado ao curso,0,cod_curso_polo,INTEGER,CO_CURSO_POLO,CO_CURSO_POLO,CO_CURSO_POLO,CO_CURSO_POLO,CO_CURSO_POLO,CO_CURSO_POLO,CO_CURSO_POLO
SMPPIR-LOCAL-OFERTA8,CO_CURSO,Código único de identificação do curso,0,cod_curso,INTEGER,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO,CO_CURSO
SMPPIR-LOCAL-OFERTA9,IN_LOCAL_OFERTA_NEAD,Informa se o tipo de local de oferta é Núcleo de Educação a Distância (NEAD),0,nucleo_educacao_a_distancia,INTEGER,,IN_LOCAL_OFERTA_NEAD,IN_LOCAL_OFERTA_NEAD,IN_LOCAL_OFERTA_NEAD,IN_LOCAL_OFERTA_NEAD,IN_LOCAL_OFERTA_NEAD,IN_LOCAL_OFERTA_NEAD
SMPPIR-LOCAL-OFERTA10,IN_LOCAL_OFERTA_UAB,Informa se o tipo de local de oferta é Polo Universidade Aberta do Brasil (UAB),0,universidade_aberta_do_brasil,INTEGER,,IN_LOCAL_OFERTA_UAB,IN_LOCAL_OFERTA_UAB,IN_LOCAL_OFERTA_UAB,IN_LOCAL_OFERTA_UAB,IN_LOCAL_OFERTA_UAB,IN_LOCAL_OFERTA_UAB
SMPPIR-LOCAL-OFERTA11,IN_LOCAL_OFERTA_REITORIA,Informa se o tipo de local de oferta é Unidade Administrativa/Reitoria,0,reitoria,INTEGER,,IN_LOCAL_OFERTA_REITORIA,IN_LOCAL_OFERTA_REITORIA,IN_LOCAL_OFERTA_REITORIA,IN_LOCAL_OFERTA_REITORIA,IN_LOCAL_OFERTA_REITORIA,IN_LOCAL_OFERTA_REITORIA
SMPPIR-LOCAL-OFERTA12,IN_LOCAL_OFERTA_POLO,Informa se o tipo de local de oferta é Polo de apoio presencial,0,polo_de_apoio_presencial,INTEGER,,IN_LOCAL_OFERTA_POLO,IN_LOCAL_OFERTA_POLO,IN_LOCAL_OFERTA_POLO,IN_LOCAL_OFERTA_POLO,IN_LOCAL_OFERTA_POLO,IN_LOCAL_OFERTA_POLO
SMPPIR-LOCAL-OFERTA13,IN_LOCAL_OFERTA_UNID_ACADEMICA,Informa se o tipo de local de oferta é Unidade Acadêmica,0,unidade_academica,INTEGER,,IN_LOCAL_OFERTA_UNID_ACADEMICA,IN_LOCAL_OFERTA_UNID_ACADEMICA,IN_LOCAL_OFERTA_UNID_ACADEMICA,IN_LOCAL_OFERTA_UNID_ACADEMICA,IN_LOCAL_OFERTA_UNID_ACADEMICA,IN_LOCAL_OFERTA_UNID_ACADEMICA
SMPPIR-LOCAL-OFERTA15,NO_LOCAL_OFERTA,Nome do  local de oferta definido pela instituição,0,nome,VARCHAR(255),,,,NO_LOCAL_OFERTA,NO_LOCAL_OFERTA,NO_LOCAL_OFERTA,NO_LOCAL_OFERTA
SMPPIR-LOCAL-OFERTA16,DT_INICIO_FUNCIONAMENTO,Data de início de funcionamento do local de oferta dos cursos EaD,0,data_incio_funcionamento,VARCHAR(255),,,,DT_INICIO_FUNCIONAMENTO,DT_INICIO_FUNCIONAMENTO,DT_INICIO_FUNCIONAMENTO,DT_INICIO_FUNCIONAMENTO
SMPPIR-LOCAL-OFERTA17,CO_LOCAL_OFERTA,Código de identificação do local de oferta,0,cod_local_oferta,INTEGER,CO_LOCAL_OFERTA_IES,CO_LOCAL_OFERTA_IES,CO_LOCAL_OFERTA_IES,CO_LOCAL_OFERTA_IES,CO_LOCAL_OFERTA_IES,CO_LOCAL_OFERTA,CO_LOCAL_OFERTA
ANO,ANO_CENSO,Ano de pesquisa,0,ano_censo,SMALLINT,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO
